id,title,slug,parent,icon 
1,Language Arts,language-arts,NULL,mdi mdi-translate
2,technology,technology,NULL,mdi mdi-laptop
3,Mathematics,mathematics,NULL,mdi mdi-calculator-variant
4,Science,science,NULL,mdi mdi-atom
5,Health,health,NULL,mdi mdi-heart
6,Arts,arts,NULL,mdi mdi-drama-masks
7,Engineering,Engineering,NULL,mdi mdi-turbine
8,Practial skills,practical-skills,NULL,mdi mdi-airballoon
9,English,english,1,
10,Mandarin Chinese,mandarin-chinese,1,
11,Spanish,spanish,1,
12,German,german,1,
13,French,french,1,
14,Arabic,arabic,1,
15,Russian,russian,1,
16,Portuguese,portuguese,1,
17,Japanese,japanese,1,
18,Hindi,hindi,1,
19,Italian,italian,1,
20,Korean,korean,1,
21,Robotics,robotics,2,
22,Electionics,Electionics,2,
23,Java Programming,java-programming,2,
24,Python Programming,python-programming,2,
25,PHP Programming,php-programming,2,
26,Javascript Programming,javascript-programming,2,
27,Basic Math,basic-math,3,
28,Algebra,algebra,3,
29,Calculus,calculus,3,
30,Geometry,geometry,3,
31,Trigonometry,trigonometry,3,
32,Game theory,game-theory,3,
33,Physics,physics,4,
34,Biology,biology,4,
35,Chemistry,chemistry,4,
36,Zoology,zoology,4,
37,Astronomy,astronomy,4,
38,Astrophysics,astrophysics,4,
39,Psychology,psychology,4,
40,Materials Science,materials-science,4,
41,Nanotechnology,nanotechnology,4,
42,Botany,botany,4,
43,Geology,geology,4,
44,Marine Biology,marine-biology,4,
45,Meteorology & Atmospheric Sciences,meteorology-and-atmospheric-sciences,4,
46,Medicine,medicine,5,
47,Nutrition,Nutrition,5,
48,Muscle building,muscle-building,5,
49,Herbalism,herbalism,5,
50,Massage,massage,5,
51,Natural Medicine,natural-medicine,5,
52,Aromatherapy,aromatherapy,5,
53,Music,music,6,
54,Dramatics,dramatics,6,
55,Dance,dace,6,
56,Chemical Engineering,chemical-engineering,7,
57,Civil Engineering,civil-engineering,7,
58,Electrical Engineering,electrical-engineering,7,
59,Mechanical Engineering,mechanical-engineering,7,
60,Environmental Engineering,environmental-engineering,7,
61,Cooking,cooking,8,
62,Joinery & Carpentry,joinery-and-carpentry,8,
63,Aircraft piloting,aircraft-piloting,8,
64,extreeme sports,extreeme sports,8,
65,Yachting,yachting,8,